UserName,name,name,pass,Gender,RegisterType,CV,DateOfBirth,Picture,Country
user34,Scarlet,Buckley,Sc_Bu,Female,Buyer,Has been in many galleries as buyer,28-Nov-23,pic34.jpg,Vietnam
user35,Oscar,Pugh,Os_ohpu,Male,Artist,Winner for artist of the year,8-May-25,pic35.jpg,Germany
user36,Britanni,Rivas,Brit_Ria,Female,Reviewer,working in reviewer maganzine for 10 years,16-Jun-24,pic36.jpg,Costa Rica
user37,Orli,Warner,OW899,Female,Buyer,Avid collector of contemporary art pieces,23-Mar-25,pic37.jpg,Pakistan
user38,Kennan,Guy,kennaG,Female,Artist,Renowned artist specializing in oil paintings,6-May-24,pic38.jpg,Ireland
user39,Kareem,Hensley,KereeHans,Male,Reviewer,Art critic with a focus on modern art,21-Dec-23,pic39.jpg,India
user40,Abbot,Whitley,AbWhit97,Male,Buyer,Collector of vintage art pieces,3-Oct-24,pic40.jpg,Poland
user41,Blythe,Cohen,Blythe_23,Female,Artist,Sculptor known for abstract sculptures,17-Dec-23,pic41.jpg,China
user42,Felicia,Jackson,Felicia_1725,Female,Reviewer,Art reviewer with a keen eye for detail,17-Apr-25,pic42.jpg,New Zealand
user43,Allistair,Erickson,Allistair_Brazil,Male,Buyer,Passionate about acquiring fine art prints,17-May-25,pic43.jpg,Brazil
user44,Zoe,Greene,Zeo44,Male,Artist,Expert in selling rare and antique artworks,7-Oct-23,pic44.jpg,Chile
user45,Brennan,Cherry,Brennan11,Female,Reviewer,Provides insightful reviews on art exhibits,17-Oct-23,pic45.jpg,Spain
